company_code,company_name,canonical_code,period_year,comparison_year,report_title,source_url,source_page,component_code,component_label,current_value,comparison_value,evidence_grade,verification_status,notes
000333,美的集团,000333.SZ,2025,2024,美的集团股份有限公司2025年年度报告全文,https://static.cninfo.com.cn/finalpage/2026-03-31/1225065145.PDF,233,consolidated_net_profit,合并净利润（调节表口径）,44520196000,38757214000,A,verified,现金流量表补充资料；年报单位千元并换算为人民币元
000333,美的集团,000333.SZ,2025,2024,美的集团股份有限公司2025年年度报告全文,https://static.cninfo.com.cn/finalpage/2026-03-31/1225065145.PDF,233,asset_impairment,资产减值准备,1156469000,1008107000,A,verified,现金流量表补充资料；年报单位千元并换算为人民币元
000333,美的集团,000333.SZ,2025,2024,美的集团股份有限公司2025年年度报告全文,https://static.cninfo.com.cn/finalpage/2026-03-31/1225065145.PDF,233,credit_impairment,信用减值准备,355860000,4595000,A,verified,现金流量表补充资料；年报单位千元并换算为人民币元
000333,美的集团,000333.SZ,2025,2024,美的集团股份有限公司2025年年度报告全文,https://static.cninfo.com.cn/finalpage/2026-03-31/1225065145.PDF,233,depreciation_and_amortisation,折旧与摊销,9339695000,7823840000,A,verified,现金流量表补充资料；年报单位千元并换算为人民币元
000333,美的集团,000333.SZ,2025,2024,美的集团股份有限公司2025年年度报告全文,https://static.cninfo.com.cn/finalpage/2026-03-31/1225065145.PDF,233,asset_disposal,处置资产损失/（收益）,76024000,-214895000,A,verified,现金流量表补充资料；年报单位千元并换算为人民币元
000333,美的集团,000333.SZ,2025,2024,美的集团股份有限公司2025年年度报告全文,https://static.cninfo.com.cn/finalpage/2026-03-31/1225065145.PDF,233,fair_value_gains,公允价值变动收益对调节的影响,-782358000,-1302145000,A,verified,现金流量表补充资料；年报单位千元并换算为人民币元
000333,美的集团,000333.SZ,2025,2024,美的集团股份有限公司2025年年度报告全文,https://static.cninfo.com.cn/finalpage/2026-03-31/1225065145.PDF,233,finance_income,财务收入对调节的影响,-4396660000,-4025866000,A,verified,现金流量表补充资料；年报单位千元并换算为人民币元
000333,美的集团,000333.SZ,2025,2024,美的集团股份有限公司2025年年度报告全文,https://static.cninfo.com.cn/finalpage/2026-03-31/1225065145.PDF,233,investment_income,投资收益对调节的影响,-1694661000,-1442940000,A,verified,现金流量表补充资料；年报单位千元并换算为人民币元
000333,美的集团,000333.SZ,2025,2024,美的集团股份有限公司2025年年度报告全文,https://static.cninfo.com.cn/finalpage/2026-03-31/1225065145.PDF,233,deferred_tax_assets,递延所得税资产增加对调节的影响,-372141000,-1556421000,A,verified,现金流量表补充资料；年报单位千元并换算为人民币元
000333,美的集团,000333.SZ,2025,2024,美的集团股份有限公司2025年年度报告全文,https://static.cninfo.com.cn/finalpage/2026-03-31/1225065145.PDF,233,deferred_tax_liabilities,递延所得税负债对调节的影响,-1017814000,64839000,A,verified,现金流量表补充资料；年报单位千元并换算为人民币元
000333,美的集团,000333.SZ,2025,2024,美的集团股份有限公司2025年年度报告全文,https://static.cninfo.com.cn/finalpage/2026-03-31/1225065145.PDF,233,inventory_change,存货的减少/（增加）,2075064000,-15794154000,A,verified,现金流量表补充资料；年报单位千元并换算为人民币元
000333,美的集团,000333.SZ,2025,2024,美的集团股份有限公司2025年年度报告全文,https://static.cninfo.com.cn/finalpage/2026-03-31/1225065145.PDF,233,operating_receivables,经营性应收项目的增加,-8112158000,-14349722000,A,verified,现金流量表补充资料；年报单位千元并换算为人民币元
000333,美的集团,000333.SZ,2025,2024,美的集团股份有限公司2025年年度报告全文,https://static.cninfo.com.cn/finalpage/2026-03-31/1225065145.PDF,233,operating_payables,经营性应付项目的增加,11316620000,50345636000,A,verified,现金流量表补充资料；年报单位千元并换算为人民币元
000333,美的集团,000333.SZ,2025,2024,美的集团股份有限公司2025年年度报告全文,https://static.cninfo.com.cn/finalpage/2026-03-31/1225065145.PDF,233,share_payment_and_other,股份支付及其他,881794000,1193484000,A,verified,现金流量表补充资料；年报单位千元并换算为人民币元
